Student Age,Sex,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Do you have a partner,Total salary if available,Transportation to university,Accommodation type,Mothers education,Fathers education,Number of siblings,Parental status,Mothers occupation,Fathers occupation,Weekly study hours,Reading frequency (non-scientific),Reading frequency (scientific),Attendance to seminars/conferences,Impact of projects/activities on success,Attendance to classes,Preparation for midterm exams 1,Preparation for midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves interest,Flip-classroom,Cumulative GPA (last semester),Expected graduation,Course ID,OUTPUT Grade
2,2,1,2,2,1,1,3,1,1,2,2,5,1,4,5,1,1,3,2,2,2,2,3,2,2,1,2,1,1,8,1
1,1,2,5,2,1,1,5,2,2,3,3,3,2,2,1,3,1,2,2,2,1,2,2,3,3,1,2,3,1,5,1
3,1,1,4,1,1,1,4,3,2,3,3,1,2,4,1,3,2,3,2,1,2,2,2,2,3,2,1,4,1,2,3
2,2,2,4,1,2,2,4,1,3,3,4,3,1,3,4,2,1,2,1,3,2,3,2,1,3,2,2,3,1,1,8
1,2,2,3,1,1,2,5,1,1,3,1,4,1,4,4,2,1,3,2,2,2,2,1,1,3,2,2,5,1,13,2
1,1,2,3,2,2,2,4,1,2,4,3,3,2,2,1,3,3,3,2,3,3,2,1,3,2,1,2,3,1,10,3
1,2,1,5,1,2,2,3,3,2,2,2,2,1,5,1,5,3,2,2,3,1,2,2,3,2,1,2,2,2,9,7
2,1,2,1,2,1,1,3,2,2,3,4,3,2,5,5,3,2,1,1,3,3,3,2,2,1,2,2,3,2,8,2
2,1,1,3,2,2,2,1,4,3,3,4,4,1,2,4,2,2,2,2,2,1,2,3,2,3,3,3,4,1,6,6
1,1,1,2,2,2,2,2,2,2,4,4,2,1,5,2,2,2,3,1,3,3,1,2,2,3,2,2,2,1,13,3
2,1,1,4,2,2,2,1,2,4,4,5,2,1,1,2,2,2,2,2,3,2,2,1,3,3,3,3,5,1,11,6
1,2,3,3,2,2,2,1,3,3,3,3,5,1,3,5,2,1,2,2,3,2,2,3,2,3,1,2,5,1,3,3
2,1,3,2,1,1,1,2,2,3,3,2,3,1,5,4,3,1,1,2,2,1,3,2,3,3,2,3,1,1,12,7
3,2,2,1,2,2,2,3,1,4,1,4,2,1,5,1,2,1,1,2,2,3,2,2,3,3,2,2,5,1,12,4
1,1,2,4,2,2,1,1,3,3,3,3,2,2,5,5,2,2,2,2,2,2,2,3,3,2,2,3,2,1,10,3
1,1,2,2,1,2,1,1,2,2,4,2,3,1,3,3,1,3,2,2,3,3,2,2,2,3,2,2,3,2,6,3
1,1,2,1,2,1,2,5,1,3,5,6,3,1,3,3,3,2,2,1,1,1,3,3,3,2,3,1,4,1,3,5
1,2,1,1,2,2,1,1,3,1,4,5,4,1,3,2,5,3,1,2,3,1,1,1,1,3,3,3,2,1,4,5
3,1,2,3,2,2,2,2,1,1,3,3,5,1,4,5,4,2,1,1,2,2,3,2,3,3,3,3,5,1,3,6
2,1,2,2,2,2,1,1,1,1,4,2,4,1,1,5,3,2,2,1,2,2,2,1,3,3,1,3,2,2,11,5
3,1,1,2,1,2,1,2,1,2,1,5,1,1,3,4,2,2,3,1,2,1,2,1,3,2,2,2,2,1,2,3
1,1,2,1,2,1,2,5,3,2,4,5,2,1,4,5,3,2,2,2,2,3,2,1,3,2,2,3,4,1,2,1
2,1,2,3,1,2,2,5,1,1,6,4,5,1,3,2,4,3,2,1,1,1,2,2,3,2,2,1,4,1,4,6
2,2,1,2,2,2,1,2,1,3,2,6,2,1,2,1,3,3,1,2,3,2,2,2,2,2,2,1,3,2,9,5
3,2,3,5,2,2,2,3,1,3,2,3,2,1,1,5,2,1,1,2,3,3,1,1,2,3,2,1,3,1,10,4
2,2,1,5,2,1,2,2,1,1,4,4,2,1,3,5,4,2,2,1,3,2,1,2,2,3,2,3,2,1,2,1
3,1,2,2,2,1,1,3,2,2,4,3,2,1,5,3,3,3,3,1,2,2,2,2,2,3,1,1,2,1,8,3
2,2,2,1,2,2,2,1,1,4,2,2,3,1,2,4,3,2,3,1,3,2,1,2,3,2,2,1,2,1,9,5
1,1,1,1,1,2,2,2,4,2,2,2,2,1,2,4,3,3,2,1,1,3,2,1,1,3,2,2,3,2,9,2
1,1,1,1,2,2,1,3,1,1,4,3,1,2,4,4,4,3,1,2,3,1,1,2,1,3,2,2,5,2,3,4
1,2,1,3,2,2,2,1,3,1,4,4,2,1,2,5,4,2,2,2,2,2,2,2,3,3,2,3,3,1,8,8
2,1,2,4,1,1,1,1,2,2,3,3,5,1,4,3,1,1,3,1,2,3,3,2,3,3,1,3,1,2,6,2
2,1,2,1,1,2,2,2,3,1,4,4,4,1,5,4,4,2,3,1,2,1,2,2,3,3,3,1,5,1,10,8
1,1,2,1,2,2,1,4,2,1,1,3,3,1,4,5,4,1,2,1,1,2,2,2,3,3,2,1,4,1,7,5
1,1,2,1,1,2,2,1,2,2,5,5,3,1,3,5,5,2,3,2,1,1,2,1,3,3,3,3,1,1,2,6
1,2,2,3,2,2,1,1,1,2,3,4,4,1,4,3,3,2,3,1,1,1,2,2,2,2,2,1,5,1,11,7
1,1,2,4,1,2,2,2,1,1,3,3,1,2,1,3,1,1,3,2,2,1,3,3,3,3,2,2,3,1,11,6
1,2,2,2,2,1,1,4,1,1,3,4,2,1,1,3,3,1,2,2,3,2,1,2,2,3,3,3,3,1,6,4
1,2,1,3,2,2,2,5,1,1,4,3,1,1,4,1,2,3,2,1,2,2,2,1,3,3,2,3,3,1,10,4
1,2,2,1,2,1,1,3,4,1,3,3,2,2,4,5,3,2,2,1,3,1,1,2,3,3,1,3,4,1,9,8
2,2,1,5,1,2,1,2,2,2,3,4,2,1,4,3,3,1,2,1,2,2,2,2,3,3,3,2,3,1,7,6
2,2,2,1,1,1,1,4,1,2,4,3,2,2,3,5,2,3,1,2,2,1,1,1,3,2,3,2,3,1,7,5
1,1,1,5,2,2,2,4,2,1,5,3,1,1,5,5,3,3,2,2,2,2,3,2,3,2,3,2,5,1,6,5
2,1,2,2,2,1,2,4,1,2,3,2,2,1,3,5,3,2,1,2,2,1,3,1,3,3,1,3,1,1,1,1
1,2,2,1,2,2,1,3,2,1,2,4,2,1,5,5,2,3,2,1,2,1,2,1,2,3,2,2,4,1,5,6
3,1,2,4,1,2,1,4,3,1,1,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,11,5
1,1,2,3,1,2,2,5,1,2,5,3,1,1,5,2,2,2,3,2,2,1,3,1,2,3,2,1,3,2,5,7
1,2,2,1,2,1,2,1,2,2,4,3,2,1,3,5,3,1,2,1,3,1,1,3,3,3,1,1,4,1,3,6
2,1,2,4,2,2,2,2,2,4,2,5,2,1,5,4,3,2,1,2,2,1,3,1,2,3,3,2,4,1,4,7
2,1,1,3,2,2,2,1,1,1,4,2,2,1,1,4,2,2,1,2,3,2,2,2,3,2,3,1,3,1,13,8
2,2,2,2,2,1,2,2,2,1,1,3,5,2,6,4,1,1,2,1,2,2,1,2,2,2,2,2,4,1,1,3
1,2,2,3,2,1,1,1,1,2,4,2,4,2,3,5,1,3,1,2,2,2,3,2,1,3,3,2,5,2,7,1
3,2,1,4,2,2,2,1,3,2,3,3,2,1,5,4,3,2,3,1,2,1,1,2,2,3,1,2,4,1,4,3
1,1,1,2,1,2,2,2,1,2,3,4,1,2,4,6,1,1,2,2,3,2,2,1,2,3,2,1,3,1,9,7
1,2,2,3,2,1,1,2,2,2,2,3,4,1,3,5,1,1,1,1,1,1,2,2,3,3,3,1,4,1,5,6
2,2,1,3,1,2,1,1,1,2,2,4,4,1,4,1,2,1,1,2,1,1,3,2,3,3,3,2,3,1,2,3
2,2,2,4,2,1,2,1,2,3,3,5,2,1,3,5,5,2,1,1,2,3,2,2,3,3,1,2,5,1,4,7
2,1,2,3,2,1,2,1,1,1,6,2,4,1,5,5,1,2,2,1,2,2,2,2,3,2,3,3,1,1,10,4
2,1,2,1,2,2,1,2,2,2,2,3,3,1,1,5,2,2,2,1,2,2,2,2,3,3,2,1,1,1,4,2
1,1,2,5,2,2,2,4,2,2,2,3,2,1,3,2,4,1,2,2,2,2,2,2,3,3,2,2,1,2,9,5
1,2,2,3,1,2,1,2,2,2,5,1,3,1,1,5,3,2,3,2,3,3,3,2,3,2,3,2,5,1,7,4
1,2,1,3,1,2,2,4,2,3,4,2,3,1,5,6,5,1,2,1,1,2,1,2,3,3,2,2,4,2,4,3
1,1,3,3,1,2,1,3,4,2,4,4,3,1,3,1,3,2,2,2,2,1,1,2,3,3,2,2,3,2,10,7
1,2,2,4,1,2,2,2,1,3,5,4,3,2,4,5,2,2,1,2,3,1,2,2,3,3,1,3,3,1,8,8
2,1,1,1,1,2,2,2,2,2,1,3,1,2,5,3,3,1,2,2,3,1,2,2,2,3,3,2,4,2,7,8
1,2,2,3,1,1,2,3,1,1,4,4,2,1,2,5,3,1,2,1,1,2,2,2,3,2,3,1,2,1,5,5
1,2,3,1,2,1,2,3,4,3,1,2,3,1,1,2,3,1,3,2,3,3,1,1,2,3,2,2,2,1,10,5
1,2,2,4,1,1,2,5,1,1,3,2,2,1,5,1,3,2,2,2,2,1,3,3,1,1,3,2,5,1,11,8
1,2,2,2,2,2,2,3,2,2,4,4,2,1,3,1,4,2,1,2,1,1,2,2,2,3,2,2,5,1,8,5
1,1,1,2,2,2,1,5,1,2,2,4,3,1,5,3,2,2,1,2,3,2,1,2,1,3,2,1,4,1,1,7
2,2,1,5,2,1,1,2,2,1,2,5,1,1,5,5,2,1,3,2,3,1,1,2,2,3,2,2,2,1,13,5
3,2,1,4,1,1,2,1,1,2,4,6,3,1,3,1,4,3,2,2,1,2,2,1,2,3,2,3,4,1,4,3
2,1,1,3,2,2,1,2,4,1,4,1,1,1,3,4,4,3,3,2,2,1,2,2,2,2,1,2,1,1,5,6
2,1,3,3,2,2,2,1,1,3,5,2,2,1,4,5,4,3,1,1,1,2,3,2,1,2,2,3,4,1,6,3
1,1,2,4,2,2,1,3,1,4,4,3,3,1,1,5,3,3,2,2,3,2,3,2,2,3,2,2,4,2,4,4
1,2,1,1,1,2,2,1,1,1,4,3,5,1,4,5,4,2,2,1,2,1,3,3,3,3,3,1,2,1,9,5
2,2,1,3,2,2,1,1,2,1,4,2,1,1,3,2,2,3,2,2,3,2,3,2,3,3,3,2,4,1,1,1
3,1,2,4,1,2,2,3,1,3,1,4,1,1,2,5,5,1,1,1,3,1,2,2,3,2,2,2,5,2,2,8
2,1,2,3,2,2,2,4,2,3,6,4,4,2,4,2,2,1,2,2,2,3,2,3,2,3,1,2,4,1,11,8
1,1,1,1,2,1,2,1,3,3,4,3,4,1,1,1,5,1,3,1,3,1,3,3,2,3,3,2,3,1,7,5
2,2,3,3,2,2,1,1,2,1,3,2,4,2,1,3,2,2,2,2,1,2,2,2,3,2,2,2,3,1,4,7
1,1,2,1,1,2,1,1,1,3,4,3,1,1,5,5,4,2,2,2,3,1,3,2,3,3,3,1,4,2,4,6
1,1,2,2,2,1,2,1,1,2,1,2,2,1,4,5,2,2,3,2,1,2,1,2,2,2,1,1,4,1,12,3
2,2,3,5,2,1,1,3,1,1,4,3,4,1,4,4,3,3,1,1,3,1,2,2,2,2,2,3,4,1,10,8
1,2,1,3,2,1,1,3,1,2,4,2,2,1,1,5,2,2,3,1,2,2,3,2,1,3,1,1,5,1,9,4
1,1,3,3,1,2,2,1,2,1,3,2,2,1,5,5,5,2,1,1,3,2,2,3,2,2,2,2,3,1,8,4
2,2,1,4,2,1,1,4,1,2,3,3,1,1,5,2,3,2,1,2,2,1,1,2,2,1,1,1,4,1,13,7
2,2,2,3,2,2,2,3,1,3,3,2,1,1,5,6,2,1,1,2,2,3,3,2,3,3,2,2,5,2,11,3
3,2,1,1,2,1,1,1,2,2,3,2,3,2,1,2,3,3,3,2,3,2,1,1,3,3,2,3,4,1,1,6
2,2,2,5,2,2,1,1,2,2,5,3,4,1,5,5,3,2,3,2,3,1,2,1,1,3,3,2,5,1,6,6
1,2,2,2,1,2,2,3,1,2,2,3,3,2,3,2,3,3,1,2,3,1,2,2,3,3,1,1,2,1,2,3
1,1,2,4,2,2,2,1,1,2,3,2,3,1,5,5,1,1,2,1,2,1,2,2,2,3,2,1,3,2,4,8
1,1,2,1,2,2,1,2,4,1,2,3,3,1,5,5,4,2,3,1,2,1,3,1,3,3,3,2,4,1,8,5
1,2,1,1,2,2,1,3,1,2,5,4,1,1,1,3,5,2,3,1,2,2,2,2,3,3,2,2,4,2,9,3
2,1,1,2,2,2,2,3,3,2,1,3,4,1,3,1,3,3,2,1,1,2,3,2,2,3,3,2,4,1,6,6
1,2,3,3,2,2,1,5,2,3,4,6,2,1,2,5,4,2,2,1,1,2,1,2,3,3,1,1,5,1,6,8
1,1,1,2,2,1,2,1,4,1,5,4,3,2,1,2,2,1,2,2,1,2,2,2,3,3,2,2,3,2,11,2
1,2,2,4,2,2,2,4,1,3,4,4,5,1,3,5,1,2,3,1,3,3,3,2,3,2,3,2,5,1,8,2
1,1,3,4,2,1,2,4,3,1,4,1,1,1,2,1,4,2,3,2,3,2,2,2,3,2,3,2,3,1,11,5
1,1,2,4,1,2,2,3,1,1,3,3,3,2,2,5,1,1,2,2,3,2,2,1,3,3,2,3,1,2,3,4
1,1,2,2,1,2,1,1,4,1,5,2,3,1,1,5,4,1,2,1,3,2,2,1,2,3,3,2,4,1,12,6
2,1,1,5,1,2,2,3,1,1,4,2,3,1,3,3,5,2,2,2,3,2,3,1,3,3,3,3,3,1,1,6
1,1,2,1,2,2,2,1,2,2,3,3,2,1,5,4,1,1,2,1,1,3,2,2,1,3,3,1,2,1,13,2
1,1,1,2,2,1,2,1,3,1,2,1,3,1,1,3,5,3,2,2,2,1,1,3,3,3,3,2,1,1,8,7
1,2,1,5,1,2,2,4,2,1,4,3,2,2,4,5,3,3,3,2,3,2,2,2,3,3,2,3,1,1,13,8
2,1,1,1,2,2,2,5,1,1,4,2,5,1,6,4,4,2,3,2,2,1,2,3,3,2,1,1,3,2,10,2
1,2,1,3,1,2,2,2,2,1,4,4,5,1,1,3,2,1,2,1,3,1,1,3,3,3,3,2,4,1,5,4
1,2,2,1,1,1,1,2,2,2,3,3,1,1,4,3,2,1,2,2,2,1,3,2,3,2,2,1,4,1,9,7
1,2,2,3,2,1,2,3,2,1,6,4,1,1,1,1,3,2,1,1,3,3,2,1,3,2,2,1,4,1,5,4
2,2,1,4,2,2,2,1,2,2,4,2,3,1,5,4,2,1,3,2,3,1,2,2,3,3,3,1,4,1,9,6
1,2,2,4,1,1,2,2,3,2,5,6,2,1,5,3,4,2,2,1,3,3,2,3,2,2,3,2,5,1,11,1
2,1,2,1,2,1,2,3,2,2,5,3,2,1,5,4,3,3,3,1,2,3,1,3,3,3,3,2,3,1,2,3
2,1,1,4,2,1,2,3,1,2,3,4,2,2,5,3,1,1,2,2,3,1,2,1,3,1,2,2,3,2,8,1
1,1,1,3,1,2,2,2,1,2,3,5,2,1,4,5,2,2,3,1,1,1,2,2,3,3,2,2,4,1,10,8
2,1,2,1,2,1,2,2,2,2,2,5,2,1,3,3,1,2,2,2,1,2,3,1,3,3,1,1,2,1,8,3
1,2,1,1,2,2,2,4,1,3,3,2,3,1,3,4,2,1,2,1,2,2,2,1,3,3,3,3,2,1,7,6
2,1,2,3,1,2,2,5,2,1,2,1,1,1,3,2,4,2,3,1,2,2,2,2,3,3,3,3,3,1,6,6
1,2,1,1,1,2,1,2,1,2,1,5,5,1,3,5,3,3,1,2,3,2,1,2,3,3,1,3,4,2,12,1
1,2,1,1,2,1,2,4,1,1,3,5,4,1,6,3,2,1,2,2,2,2,3,2,2,3,1,2,3,1,4,6
2,2,2,1,2,2,2,3,2,4,3,2,3,2,5,5,3,1,1,2,2,2,1,3,2,3,2,1,4,2,8,3
1,1,2,3,2,2,1,1,1,3,3,5,2,1,5,3,5,1,1,2,1,1,1,2,2,1,2,2,3,1,12,7
1,1,2,5,2,1,1,5,2,2,3,5,1,1,5,4,1,1,3,2,3,1,2,3,3,3,2,2,4,1,7,6
1,1,3,2,1,1,2,4,1,1,3,3,2,1,1,5,3,3,2,2,3,1,1,2,3,3,3,2,3,1,1,6
1,2,2,3,2,2,2,2,1,3,2,3,3,1,3,5,2,2,3,2,2,1,2,1,2,3,1,3,5,1,13,7
1,1,1,1,2,1,1,2,1,3,1,5,1,2,4,5,2,2,2,1,1,1,3,2,3,3,2,1,5,1,12,7
2,1,3,1,2,2,2,2,2,3,4,4,2,1,5,1,3,3,2,2,3,1,3,2,3,3,3,1,3,1,7,8
1,1,2,4,2,2,1,3,1,1,2,5,2,1,4,3,1,3,1,2,2,1,1,1,3,3,2,2,4,1,10,3
